행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,총매출건수,2030_매출건수,피크타임_매출비중,시간대추천,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,2030_매출비율,객단가,새벽_매출비중,오전_매출비중,점심_매출비중,오후_매출비중,저녁_매출비중,심야_매출비중,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,2030_유동인구,2030_유동인구비율,새벽_유동인구비중,오전_유동인구비중,점심_유동인구비중,오후_유동인구비중,저녁_유동인구비중,심야_유동인구비중,업종명,월_유동인구추정,카페전환효율,2030_카페전환효율
11110515,청운효자동,18058398153,1293063,1243045,709275,0.3535937440418011,14~17,8476,308401,400874,210887,219391,95016,109697006,4579426920,5128780411,2545941430,3215173953,1519094707,8336616,1718953026,5902689530,6316674107,3805763515,305981359,0.5705947894082676,13965.598082228013,0.0004616475907424301,0.09518856608632445,0.32686672870923494,0.3497914960940556,0.21074756923375051,0.016943992285892093,3373528.25,633608.0,448867.75,526670.5,592799.0,515657.75,655924.5,753332.5,683793.0,491483.5,488991.0,567859.25,388068.0,975538.25,0.28917447186043277,0.22330700802638898,0.2026937228108287,0.1456882716188904,0.14494943091109433,0.16832799606761853,0.11503327413961925,커피-음료,101205847.5,0.01277656412096149,0.02423533879886309
11110530,사직동,47248523266,4695787,4331294,2382531,0.40268390017969424,11~14,34162,951403,1431128,932075,670185,312341,268118257,9280947702,13147446554,8492742653,6198483613,3444189036,206097259,6612926761,19004308922,12085378962,7771658094,1568153268,0.5500737193088255,10061.89660348734,0.004361983079126357,0.13996049619943693,0.4022201670729355,0.2557832102807037,0.16448467712413098,0.03318946624366654,3973369.75,354793.5,615691.5,801148.5,822818.5,669961.5,708956.75,461557.75,826156.75,778414.0,786150.75,794821.25,326269.25,1416840.0,0.3565839801342425,0.11616279859179982,0.20792345086937858,0.19590776821110092,0.19785491898910237,0.20003707180787794,0.08211399153074038,커피-음료,119201092.5,0.03939382518662738,0.0560526947291155
11110540,삼청동,30572945154,1717835,1633497,841490,0.3776020496302762,11~14,10662,361339,480151,321303,275086,184956,149713896,5215656508,7630528689,5900318335,5288009152,4055549073,3150760,2235361110,11246188545,10966442272,5902441426,219361041,0.5151463394178257,17797.37003495679,0.0001030571305488955,0.0731156615347389,0.3678477323120638,0.3586976072066518,0.1930609365983099,0.007175005217686723,970162.0,109792.75,152514.5,168621.75,183451.75,158548.5,197234.0,155248.5,196432.75,189335.5,188187.75,161028.75,79929.0,321136.25,0.3310130163828309,0.1600232744634401,0.20247417441623153,0.19515864360797475,0.1939755937668142,0.16598130003030423,0.08238727140415725,커피-음료,29104860.0,0.05902227325608163,0.08734506511384706
11110550,부암동,2696206309,218158,214642,115929,0.41542533465198306,14~17,9617,80267,35662,27602,46723,14771,47610171,666030517,590590810,435319995,574884580,282593319,1842925,168515762,812674777,1122901147,473477260,116794438,0.5401039871041082,12358.961436206786,0.0006835252160965105,0.06250106360091601,0.30141416637416524,0.4164744898236198,0.17560869078138486,0.04331806420381757,873277.5,169066.5,110074.75,99422.5,135700.5,144379.5,214633.75,225150.5,187688.25,109589.5,106088.75,133614.25,111146.75,209497.25,0.2398976842985191,0.257822398951078,0.21492395029071515,0.1254921831834669,0.12148343453255123,0.15300319772351859,0.12727540787435837,커피-음료,26198325.0,0.008327173588387807,0.018445588187911775
11110560,평창동,1221731340,126750,122228,26417,0.3659153310480675,11~14,3477,13078,13339,43542,27338,21454,28965509,92318890,128340486,282699802,252881069,259256125,0,56125110,415320619,389838749,345833055,14613807,0.2161288739077789,9638.906035502958,0.0,0.045938995065805545,0.3399443113246158,0.31908713170933306,0.2830680065880933,0.011961555312152343,912324.75,172196.5,87426.25,94659.75,137916.25,160002.25,260123.5,264623.5,192348.25,96984.75,95879.0,139343.75,123146.0,182086.0,0.1995846325554579,0.2900540624377449,0.21083309424631963,0.10630507393337735,0.1050930603384376,0.15273481290516344,0.1349804441894183,커피-음료,27369742.5,0.004631026397124489,0.004835993248611462
11110570,무악동,244716589,30856,28877,6426,0.36329099601791764,11~14,173,1748,4678,5800,8425,8053,995533,11980891,34870866,40944912,63041557,59661838,0,37592592,87500860,79500057,39259041,864039,0.2225300412092669,7930.923936997667,0.0,0.15361685185960156,0.3575599854409543,0.32486582672987485,0.1604265618462016,0.003530774123367664,1873664.0,348203.0,220214.5,226756.0,290503.0,295845.75,492141.75,440068.25,400702.0,230282.0,236144.0,324367.75,242100.25,446970.5,0.23855424451769366,0.23487041966969532,0.21386011579450745,0.1229046403197158,0.12603326957234595,0.17311948673828392,0.12921220133385708,커피-음료,56209920.0,0.0005489422507628547,0.0004792262576612998
11110580,교남동,532191451,70478,66882,31439,0.40805414353312464,11~14,120,11600,19839,13695,9048,12580,513184,59509258,144871734,96387355,73416281,93607041,0,205313059,216725441,97843575,12115133,194243,0.47006668460871387,7551.171301682794,0.0,0.38578796899914874,0.40723209775874436,0.18385033208660093,0.02276461408246109,0.00036498707304488437,4083436.5,826700.25,485127.5,539227.75,704343.5,650328.5,877707.75,1160603.25,889242.75,460399.25,439499.75,606050.75,527641.0,1024355.25,0.25085617224609713,0.2842221863863929,0.2177682327128143,0.11274798812225928,0.10762987253505718,0.14841684203978683,0.12921493942663245,커피-음료,122503095.0,0.0005753160767081027,0.0010230500274847683
11110600,가회동,24369967054,2080234,1944147,1110005,0.34796491364799387,14~17,17742,495982,614023,400734,283623,132043,190670778,6103165228,6575061679,4259374421,3273474117,1590289742,387538,3203509621,8034119848,8486539146,4298580046,346830855,0.5709470528720307,11715.01237553083,1.590227837162344e-05,0.13145317816398883,0.32967298766541864,0.3482376125989489,0.1763884225397197,0.014231896753552336,1203425.25,175069.5,175926.25,215516.75,231968.0,192646.25,212299.0,183896.0,263550.75,229591.5,234564.75,195186.5,96635.0,391443.0,0.3252740458952478,0.15281048822932708,0.21900051540384416,0.19078168752068314,0.1949142665903013,0.16219245856774236,0.08029996046700864,커피-음료,36102757.5,0.057619809234793214,0.09452248901287459
11110615,종로1?2?3?4가동,93001006847,9620286,8733570,4286049,0.37527958473368217,11~14,46880,1639364,2646685,1843021,1506003,1051617,473194181,14715284567,21116779449,16112516885,13774447345,11996673953,226336962,11466435103,34893603413,22970232967,18970767673,4473630729,0.4907556703616047,9667.1769266527,0.0024337044261505338,0.1232936662918492,0.3751959747103059,0.246989078352553,0.20398454077179654,0.04810303544734483,13854335.25,667720.25,2683083.75,2863962.5,2718518.75,2276929.0,2644120.75,1411064.25,2678801.5,2845330.5,2922953.0,2879530.0,1116655.25,5547046.25,0.4003834287177366,0.10185001478147426,0.19335474792989435,0.20537474001143433,0.21097749890237427,0.20784324531196832,0.08059969892817485,커피-음료,415630057.5,0.023146271128382,0.025755743428315565
11110630,종로5?6가동,10817521951,1520506,1355718,596037,0.4424915094036015,11~14,4425,203089,392948,289562,258915,206779,25756663,1254742288,2221664183,1672394541,1529629338,1594943646,7809561,2095876304,4786516661,2402426702,1406363812,118528911,0.4396467406938611,7114.422403463058,0.0007219362285905104,0.19374828297032037,0.4424781093749037,0.22208660290982016,0.13000794621636907,0.010957122299996154,5203580.5,336401.0,834178.5,830188.75,864692.25,959040.25,1379080.25,866704.0,1122106.25,945786.75,918917.75,877453.5,472611.25,1664367.25,0.31985038955388506,0.16655916056261647,0.21564118206684801,0.18175691718423498,0.17659335720856054,0.16862494968608635,0.09082424111628522,커피-음료,156107415.0,0.009740126694174008,0.011937209170632263
11110640,이화동,17764456383,1911243,1835868,1071736,0.3166637374101827,11~14,29395,501583,570153,327560,278199,128978,226783376,3691334478,4182662381,3335671889,2563356612,1612942885,18302508,1740480924,5478020328,5072787257,4822046061,632819305,0.5837761756291847,9294.713640808626,0.0010302880991908594,0.09797546778102273,0.30836971365148474,0.2855582601364875,0.2714434912635176,0.035622779068296584,4641848.25,487813.75,1094400.0,886852.75,766398.75,680020.0,726361.75,756409.25,903706.25,760278.25,836755.0,920712.75,463986.25,1981252.75,0.4268241104176553,0.162954325359516,0.1946867285030268,0.1637878295569012,0.18026332506669085,0.19835046309409188,0.09995722070405899,커피-음료,139255447.5,0.013724726998561403,0.018031285172138353
11110650,혜화동,18001333160,1810520,1779762,1107385,0.318076652755795,14~17,52788,686610,420775,238488,269570,111531,513412848,6703725885,4026162165,2303750371,2511208607,1048741137,48987267,802943125,5133451807,5673649840,5647249304,695051817,0.6222095988115265,9942.631487086583,0.002721313280777033,0.04460464777043213,0.285170646050084,0.3151794252998537,0.31371283747742157,0.03861113012143152,8865268.0,1363001.25,3198090.25,1072019.25,1020029.75,994754.25,1217373.75,2108298.75,1767753.75,1134242.0,1145099.25,1611180.75,1098692.75,4270109.5,0.48166727728930475,0.23781556857615585,0.19940217825338163,0.1279422122376898,0.12916690730612995,0.18174078324535706,0.1239322657814744,커피-음료,265958040.0,0.006807540016462747,0.008644469968119866
11110670,창신1동,2446993074,344219,333515,131718,0.28309782586934545,11~14,3277,53669,78049,71536,68078,58906,22744454,370232185,533618761,458134943,458626546,456007109,7558531,379382730,686507109,653938135,596973289,122633280,0.3949387583766847,7108.826282105288,0.0030889057596082104,0.1550403775274437,0.2805513085812682,0.2672415144727132,0.24396198556629017,0.05011590809267652,2828471.5,155053.5,429606.25,419100.25,475996.5,532336.5,816379.0,672353.0,585425.25,396570.0,390769.25,453776.75,329577.75,848706.5,0.3000583530716148,0.23770895340469225,0.20697583482810417,0.14020646840528533,0.1381556257505158,0.1604317915170791,0.11652150286824527,커피-음료,84854145.0,0.004056596174529836,0.005173284286146035
11110680,창신2동,517339425,91682,89820,38401,0.30006439483868763,14~17,809,16540,21861,15553,18712,16345,4694793,94430295,115330014,79859835,93809165,94891828,129995,77851402,146240424,154517815,127312905,11286884,0.4275328434647072,5642.758938504832,0.00025127603603765554,0.1504841855035502,0.2826779033900229,0.2986778264579391,0.2460916351001086,0.021817173512341536,4668053.0,312161.5,728512.75,557677.5,564878.25,972476.25,1532346.25,1319944.5,972193.0,512658.75,511845.5,743965.0,607446.0,1286190.25,0.2755303442355946,0.28276124971160355,0.20826520178755467,0.10982282120618596,0.10964860510366956,0.15937372604809757,0.13012834258736994,커피-음료,140041590.0,0.000654676942756791,0.0009952130591359507
