행정동_코드,행정동_코드_명,총_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,2030_유동인구,2030_유동인구비율
11110515,청운효자동,3373528.25,448867.75,526670.5,975538.25,0.28917447186043277
11110530,사직동,3973369.75,615691.5,801148.5,1416840.0,0.3565839801342425
11110540,삼청동,970162.0,152514.5,168621.75,321136.25,0.3310130163828309
11110550,부암동,873277.5,110074.75,99422.5,209497.25,0.2398976842985191
11110560,평창동,912324.75,87426.25,94659.75,182086.0,0.1995846325554579
11110570,무악동,1873664.0,220214.5,226756.0,446970.5,0.23855424451769366
11110580,교남동,4083436.5,485127.5,539227.75,1024355.25,0.25085617224609713
11110600,가회동,1203425.25,175926.25,215516.75,391443.0,0.3252740458952478
11110615,종로1?2?3?4가동,13854335.25,2683083.75,2863962.5,5547046.25,0.4003834287177366
11110630,종로5?6가동,5203580.5,834178.5,830188.75,1664367.25,0.31985038955388506
11110640,이화동,4641848.25,1094400.0,886852.75,1981252.75,0.4268241104176553
11110650,혜화동,8865268.0,3198090.25,1072019.25,4270109.5,0.48166727728930475
11110670,창신1동,2828471.5,429606.25,419100.25,848706.5,0.3000583530716148
11110680,창신2동,4668053.0,728512.75,557677.5,1286190.25,0.2755303442355946
11110690,창신3동,884414.5,115962.5,125495.5,241458.0,0.2730145197755125
11110700,숭인1동,2270714.5,330986.25,349052.75,680039.0,0.29948238759209933
11110710,숭인2동,5284261.75,1030836.0,872206.0,1903042.0,0.36013393923947845
11140520,소공동,2571007.25,419912.5,647984.5,1067897.0,0.41536133357850313
11140540,회현동,4375223.0,545258.0,955819.75,1501077.75,0.3430859981308381
11140550,명동,5674609.5,1146236.75,1316249.0,2462485.75,0.4339480540467146
11140570,필동,2585832.75,575805.0,486873.75,1062678.75,0.41096190385863124
11140580,장충동,2064753.0,608351.75,370204.5,978556.25,0.47393380709460164
11140590,광희동,6546672.0,1422682.25,1386013.0,2808695.25,0.4290264198359105
11140605,을지로동,4814080.0,776748.25,978324.5,1755072.75,0.3645707487204201
11140615,신당동,5295261.5,895013.0,1073153.0,1968166.0,0.37168438234825607
11140625,다산동,4139022.0,642358.5,762871.5,1405230.0,0.33950773878466944
11140635,약수동,1913965.5,229159.5,334336.25,563495.75,0.2944126997064472
11140645,청구동,2836370.0,331846.25,521082.75,852929.0,0.30071147276272137
11140650,신당5동,3224625.75,499566.25,574283.75,1073850.0,0.3330153894603118
11140665,동화동,3529982.75,438613.25,560285.25,998898.5,0.2829754621322158
11140670,황학동,5682035.0,902185.75,1195089.75,2097275.5,0.36910640289966534
11140680,중림동,1988530.75,254339.25,401402.75,655742.0,0.3297620617634402
11170510,후암동,3913435.25,503657.25,739360.25,1243017.5,0.31762822701614907
11170520,용산2가동,4744844.75,787546.0,939141.5,1726687.5,0.363908113115819
11170530,남영동,1999105.75,352803.75,412710.75,765514.5,0.38292846689075855
11170555,청파동,7375701.75,1676169.25,1403403.0,3079572.25,0.4175293896611261
11170560,원효로1동,4912044.0,782891.5,1223341.25,2006232.75,0.40843134752050264
11170570,원효로2동,3646040.75,462752.0,691624.25,1154376.25,0.31661090183920737
11170580,효창동,3736843.5,554241.25,706448.0,1260689.25,0.3373674198558222
11170590,용문동,2351714.5,313074.75,438858.75,751933.5,0.3197384291332983
11170625,한강로동,5702037.75,1153982.5,1386119.0,2540101.5,0.44547258565589115
11170630,이촌1동,4469922.5,390866.25,564994.25,955860.5,0.21384274559570104
11170640,이촌2동,1477126.75,195621.5,269182.25,464803.75,0.31466747860330874
11170650,이태원1동,2472440.0,611669.5,606503.75,1218173.25,0.4927008339939493
11170660,이태원2동,2875977.75,434960.5,650848.25,1085808.75,0.3775442108340372
11170685,한남동,4367252.75,711298.5,1008368.0,1719666.5,0.3937639056956344
11170690,서빙고동,1710274.0,205337.75,244585.0,449922.75,0.2630705664706357
11170700,보광동,2395791.25,290066.25,402329.25,692395.5,0.28900493730411614
11200520,왕십리2동,4487875.5,688594.75,867889.25,1556484.0,0.34681978143110254
11200535,왕십리도선동,5487250.75,964408.5,1019037.25,1983445.75,0.36146439088827864
11200540,마장동,4931273.0,823071.75,795991.0,1619062.75,0.32832551554132167
11200550,사근동,4330811.75,1837777.0,537005.0,2374782.0,0.5483456998563837
11200560,행당1동,6119463.5,1255502.25,1001565.5,2257067.75,0.36883425319883023
11200570,행당2동,4522877.5,526095.75,717115.0,1243210.75,0.2748716386857703
11200580,응봉동,2715983.25,256907.5,421207.5,678115.0,0.24967569295576472
11200590,금호1가동,3192809.25,273634.25,548077.5,821711.75,0.25736324523615056
11200615,금호2?3가동,5610458.25,559650.75,934031.0,1493681.75,0.2662316843726624
11200620,금호4가동,2617483.0,256663.75,474894.0,731557.75,0.27948901673859966
11200645,옥수동,2868578.25,264687.5,502657.75,767345.25,0.26750019805107283
11200650,성수1가1동,3118957.5,551175.25,736625.75,1287801.0,0.4128946931787304
11200660,성수1가2동,5555665.25,1156857.0,1382403.75,2539260.75,0.4570579103915593
11200670,성수2가1동,4927575.25,785162.5,979935.5,1765098.0,0.3582082282761689
11200690,성수2가3동,5780053.5,1349138.25,1319090.0,2668228.25,0.46162691227685004
11200720,송정동,3214975.75,717464.0,617496.5,1334960.5,0.4152319033821639
11200790,용답동,3052308.5,618054.5,552952.75,1171007.25,0.3836464269584808
11215710,화양동,8934240.5,3936426.0,1556798.25,5493224.25,0.6148507251399825
11215730,군자동,6655412.5,2038573.75,1160375.5,3198949.25,0.4806537911812378
11215740,중곡1동,3616943.5,678293.5,748923.75,1427217.25,0.3945920775372908
11215750,중곡2동,4538698.0,691415.5,812138.5,1503554.0,0.3312742993695549
11215760,중곡3동,4598012.5,623033.75,824827.5,1447861.25,0.31488849801952473
11215770,중곡4동,6415960.25,816900.25,975541.75,1792442.0,0.2793723667474405
11215780,능동,2089426.0,404698.25,430064.5,834762.75,0.39951773836450777
11215810,광장동,6227704.0,620597.0,659006.5,1279603.5,0.20546954383188412
11215820,자양1동,7714602.0,1460763.0,1355534.25,2816297.25,0.3650606019597641
11215830,자양2동,5148038.75,626617.0,871226.75,1497843.75,0.2909542493245607
11215840,자양3동,6585016.25,922873.0,978732.0,1901605.0,0.2887775713537533
11215847,자양4동,8723210.25,1845009.25,1584318.25,3429327.5,0.3931267734834203
11215850,구의1동,6794360.25,1316331.5,1336875.25,2653206.75,0.39050133528024217
11215860,구의2동,4932354.75,614903.5,716834.75,1331738.25,0.27000050026815287
11215870,구의3동,6256683.75,801896.0,941787.75,1743683.75,0.2786913674516472
11230536,용신동,14066266.5,2604874.5,2447381.0,5052255.5,0.3591753007096801
11230545,제기동,12002903.75,2882419.0,1517400.25,4399819.25,0.3665629035807273
11230560,전농1동,11256888.75,2229093.5,1584592.0,3813685.5,0.3387868162062097
11230570,전농2동,2324346.25,272040.25,297467.25,569507.5,0.24501835731229804
11230600,답십리1동,6871706.5,901003.5,1169729.25,2070732.75,0.30134185009211323
