행정동_코드,행정동_코드_명,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,2030_유동인구,2030_유동인구비율,새벽_유동인구비중,오전_유동인구비중,점심_유동인구비중,오후_유동인구비중,저녁_유동인구비중,심야_유동인구비중
11110515,청운효자동,3373528.25,633608.0,448867.75,526670.5,592799.0,515657.75,655924.5,753332.5,683793.0,491483.5,488991.0,567859.25,388068.0,975538.25,0.28917447186043277,0.22330700802638898,0.2026937228108287,0.1456882716188904,0.14494943091109433,0.16832799606761853,0.11503327413961925
11110530,사직동,3973369.75,354793.5,615691.5,801148.5,822818.5,669961.5,708956.75,461557.75,826156.75,778414.0,786150.75,794821.25,326269.25,1416840.0,0.3565839801342425,0.11616279859179982,0.20792345086937858,0.19590776821110092,0.19785491898910237,0.20003707180787794,0.08211399153074038
11110540,삼청동,970162.0,109792.75,152514.5,168621.75,183451.75,158548.5,197234.0,155248.5,196432.75,189335.5,188187.75,161028.75,79929.0,321136.25,0.3310130163828309,0.1600232744634401,0.20247417441623153,0.19515864360797475,0.1939755937668142,0.16598130003030423,0.08238727140415725
11110550,부암동,873277.5,169066.5,110074.75,99422.5,135700.5,144379.5,214633.75,225150.5,187688.25,109589.5,106088.75,133614.25,111146.75,209497.25,0.2398976842985191,0.257822398951078,0.21492395029071515,0.1254921831834669,0.12148343453255123,0.15300319772351859,0.12727540787435837
11110560,평창동,912324.75,172196.5,87426.25,94659.75,137916.25,160002.25,260123.5,264623.5,192348.25,96984.75,95879.0,139343.75,123146.0,182086.0,0.1995846325554579,0.2900540624377449,0.21083309424631963,0.10630507393337735,0.1050930603384376,0.15273481290516344,0.1349804441894183
11110570,무악동,1873664.0,348203.0,220214.5,226756.0,290503.0,295845.75,492141.75,440068.25,400702.0,230282.0,236144.0,324367.75,242100.25,446970.5,0.23855424451769366,0.23487041966969532,0.21386011579450745,0.1229046403197158,0.12603326957234595,0.17311948673828392,0.12921220133385708
11110580,교남동,4083436.5,826700.25,485127.5,539227.75,704343.5,650328.5,877707.75,1160603.25,889242.75,460399.25,439499.75,606050.75,527641.0,1024355.25,0.25085617224609713,0.2842221863863929,0.2177682327128143,0.11274798812225928,0.10762987253505718,0.14841684203978683,0.12921493942663245
11110600,가회동,1203425.25,175069.5,175926.25,215516.75,231968.0,192646.25,212299.0,183896.0,263550.75,229591.5,234564.75,195186.5,96635.0,391443.0,0.3252740458952478,0.15281048822932708,0.21900051540384416,0.19078168752068314,0.1949142665903013,0.16219245856774236,0.08029996046700864
11110615,종로1?2?3?4가동,13854335.25,667720.25,2683083.75,2863962.5,2718518.75,2276929.0,2644120.75,1411064.25,2678801.5,2845330.5,2922953.0,2879530.0,1116655.25,5547046.25,0.4003834287177366,0.10185001478147426,0.19335474792989435,0.20537474001143433,0.21097749890237427,0.20784324531196832,0.08059969892817485
11110630,종로5?6가동,5203580.5,336401.0,834178.5,830188.75,864692.25,959040.25,1379080.25,866704.0,1122106.25,945786.75,918917.75,877453.5,472611.25,1664367.25,0.31985038955388506,0.16655916056261647,0.21564118206684801,0.18175691718423498,0.17659335720856054,0.16862494968608635,0.09082424111628522
11110640,이화동,4641848.25,487813.75,1094400.0,886852.75,766398.75,680020.0,726361.75,756409.25,903706.25,760278.25,836755.0,920712.75,463986.25,1981252.75,0.4268241104176553,0.162954325359516,0.1946867285030268,0.1637878295569012,0.18026332506669085,0.19835046309409188,0.09995722070405899
11110650,혜화동,8865268.0,1363001.25,3198090.25,1072019.25,1020029.75,994754.25,1217373.75,2108298.75,1767753.75,1134242.0,1145099.25,1611180.75,1098692.75,4270109.5,0.48166727728930475,0.23781556857615585,0.19940217825338163,0.1279422122376898,0.12916690730612995,0.18174078324535706,0.1239322657814744
11110670,창신1동,2828471.5,155053.5,429606.25,419100.25,475996.5,532336.5,816379.0,672353.0,585425.25,396570.0,390769.25,453776.75,329577.75,848706.5,0.3000583530716148,0.23770895340469225,0.20697583482810417,0.14020646840528533,0.1381556257505158,0.1604317915170791,0.11652150286824527
11110680,창신2동,4668053.0,312161.5,728512.75,557677.5,564878.25,972476.25,1532346.25,1319944.5,972193.0,512658.75,511845.5,743965.0,607446.0,1286190.25,0.2755303442355946,0.28276124971160355,0.20826520178755467,0.10982282120618596,0.10964860510366956,0.15937372604809757,0.13012834258736994
11110690,창신3동,884414.5,114641.25,115962.5,125495.5,136992.5,151451.75,239871.5,262108.25,188724.75,90959.75,88824.0,133422.0,120376.75,241458.0,0.2730145197755125,0.2963635829127632,0.21338947970663077,0.10284742052510445,0.10043254605165339,0.15085912770539153,0.13610897379000458
11110700,숭인1동,2270714.5,229579.25,330986.25,349052.75,342967.75,390076.25,628052.5,558996.75,466254.5,277160.5,283618.0,399511.0,285174.75,680039.0,0.29948238759209933,0.24617658891067107,0.2053338277445271,0.12205871764151768,0.12490253618409536,0.17594065656426644,0.12558811334494055
11110710,숭인2동,5284261.75,393489.25,1030836.0,872206.0,758887.0,895398.25,1333444.75,1268201.0,1125836.75,722992.5,712191.25,826646.75,628393.5,1903042.0,0.36013393923947845,0.23999587075715922,0.21305469018448983,0.1368199635455227,0.13477592210491843,0.1564356175202714,0.11891793588763842
11140520,소공동,2571007.25,169504.0,419912.5,647984.5,611326.75,419904.0,302375.25,172125.75,590124.75,608622.75,596684.0,470448.5,133000.75,1067897.0,0.41536133357850313,0.0669487610351935,0.22953056627903326,0.23672541180115303,0.23208180373664836,0.18298217556562704,0.05173098986788155
11140540,회현동,4375223.0,160774.0,545258.0,955819.75,999261.25,798721.0,915388.25,314467.5,961407.5,1113379.25,1066442.75,703203.0,216322.25,1501077.75,0.3430859981308381,0.07187462216211608,0.21973908529919503,0.2544737148255072,0.2437459187794542,0.1607239219578065,0.04944256555608709
11140550,명동,5674609.5,372849.5,1146236.75,1316249.0,1295880.75,860172.75,683219.5,387177.75,1244126.5,1287154.75,1287288.75,1127657.0,341205.25,2462485.75,0.4339480540467146,0.06822984912001434,0.21924442554152845,0.22682701778862494,0.22685063174831677,0.19871975331518407,0.06012841059812133
11140570,필동,2585832.75,187460.0,575805.0,486873.75,461184.75,428470.75,446039.25,345912.25,549517.5,486753.25,475580.25,497522.75,230546.0,1062678.75,0.41096190385863124,0.133772089474851,0.21251084394379335,0.18823848912888894,0.18391763736459754,0.19240329831850106,0.08915735172740774
11140580,장충동,2064753.0,157129.25,608351.75,370204.5,318339.5,283090.5,327639.0,418295.25,455005.0,331538.5,317259.0,336709.5,205945.75,978556.25,0.47393380709460164,0.2025885178517721,0.22036776311742856,0.16057053797718177,0.15365469864918468,0.16307495375960224,0.09974352864483065
11140590,광희동,6546672.0,417483.25,1422682.25,1386013.0,1197897.25,998236.0,1124359.75,963715.25,1345073.5,1135512.0,1150718.25,1281637.0,670015.5,2808695.25,0.4290264198359105,0.14720689382330443,0.20545912488055,0.17344873853463255,0.1757714835873861,0.19576923969919371,0.10234444310025002
11140605,을지로동,4814080.0,176563.75,776748.25,978324.5,984363.5,905136.5,992943.5,432192.0,1049654.75,1004080.5,995780.25,957915.75,374456.5,1755072.75,0.3645707487204201,0.08977665514490826,0.21803849333621378,0.2085716273929806,0.20684746618253125,0.1989821004220952,0.07778360559026855
11140615,신당동,5295261.5,299087.5,895013.0,1073153.0,932357.25,902833.75,1192817.0,1248436.75,1072746.75,703353.75,687177.25,906453.75,677094.0,1968166.0,0.37168438234825607,0.23576489093125996,0.2025861706735352,0.13282700958205748,0.12977210851626497,0.17118205588147062,0.1278679060514764
11140625,다산동,4139022.0,471256.5,642358.5,762871.5,716266.0,633980.0,912288.0,966812.5,883747.5,550276.0,542789.25,701417.75,493978.5,1405230.0,0.33950773878466944,0.23358476954217688,0.21351601900159023,0.13294831484345818,0.1311394938224537,0.16946461023884385,0.11934667174999311
11140635,약수동,1913965.5,222806.0,229159.5,334336.25,304851.5,302697.25,520116.25,447984.25,385922.25,238435.25,243220.75,350029.75,248373.0,563495.75,0.2944126997064472,0.23406077591262747,0.2016349040774246,0.12457656629651893,0.12707687259775582,0.18288195372382626,0.1297687967729826
11140645,청구동,2836370.0,432999.0,331846.25,521082.75,429326.75,438474.5,682641.0,808607.75,596810.25,325554.75,307489.0,428453.5,369454.5,852929.0,0.30071147276272137,0.28508542609039017,0.21041339811096577,0.11477866075300472,0.10840934010724976,0.1510569848080469,0.13025610198951476
11140650,신당5동,3224625.75,322209.0,499566.25,574283.75,492478.0,526976.5,809111.75,716673.5,635340.0,409275.0,423788.75,627885.25,411663.75,1073850.0,0.3330153894603118,0.22225013243784958,0.19702751551866135,0.12692170556536678,0.13142261547716041,0.19471569685257273,0.12766248920514264
11140665,동화동,3529982.75,397854.5,438613.25,560285.25,533433.5,631564.25,968233.0,838272.75,707494.0,453354.75,470249.75,631274.5,429337.0,998898.5,0.2829754621322158,0.23747219444627599,0.20042420887184223,0.12842973524445694,0.13321587761299966,0.17883217701276302,0.12162580681166218
11140670,황학동,5682035.0,587067.5,902185.75,1195089.75,940138.25,780447.0,1277106.0,1525104.0,1183882.5,676573.0,675298.25,909424.25,711753.25,2097275.5,0.36910640289966534,0.2684080615483713,0.2083553691591129,0.1190723042008717,0.11884795676196996,0.16005256039429536,0.1252637919336998
11140680,중림동,1988530.75,166922.25,254339.25,401402.75,399649.0,334948.5,431269.25,425803.5,428347.5,290696.0,288567.75,332637.5,222479.5,655742.0,0.3297620617634402,0.21412970355122746,0.21540904006639072,0.1461863237468166,0.14511606119241555,0.16727802675417516,0.11188134757282481
11170510,후암동,3913435.25,586276.0,503657.25,739360.25,655591.25,554310.5,874240.5,1164674.25,834636.75,427362.25,409960.0,566527.75,510273.5,1243017.5,0.31762822701614907,0.29760917853438357,0.2132747053883158,0.10920386379204818,0.10475706733617222,0.14476482011552383,0.13039017318607737
11170520,용산2가동,4744844.75,698360.25,787546.0,939141.5,772291.25,557142.5,990363.25,1245156.0,992676.0,555228.25,554397.5,785232.25,612155.75,1726687.5,0.363908113115819,0.2624229169984961,0.2092114815769262,0.11701715846445766,0.11684207370536201,0.16549166334683554,0.12901491666297407
11170530,남영동,1999105.75,154569.5,352803.75,412710.75,341996.25,324100.5,412925.0,360735.75,435553.5,312430.25,314661.25,365043.75,210682.75,765514.5,0.38292846689075855,0.18044855806152327,0.21787416698691403,0.15628500393238326,0.15740100292343215,0.18260352159959523,0.10538849683164585
11170555,청파동,7375701.75,826349.5,1676169.25,1403403.0,1127590.75,1032105.75,1310083.25,1875713.75,1557072.25,932545.5,901554.0,1190007.5,918808.75,3079572.25,0.4175293896611261,0.25430986956597046,0.21110835318144475,0.1264348168633581,0.12223297939074068,0.1613415970893888,0.1245723839090972
11170560,원효로1동,4912044.0,554098.25,782891.5,1223341.25,924637.0,691670.5,735404.0,1148412.75,1066663.75,656135.5,646093.0,811903.75,582835.25,2006232.75,0.40843134752050264,0.2337952897001737,0.21715272705211924,0.13357687756868628,0.1315324129832713,0.16528837078820954,0.11865432190753991
11170570,원효로2동,3646040.75,488978.5,462752.0,691624.25,629428.0,560237.75,813020.0,1038018.25,794139.75,412391.75,398410.75,535098.75,467980.75,1154376.25,0.31661090183920737,0.2846973803021812,0.21780879711780513,0.11310673091078316,0.10927216049354357,0.146761593380436,0.1283531320926679
11170580,효창동,3736843.5,557719.0,554241.25,706448.0,626817.5,541996.0,749622.25,950374.0,804551.5,448919.75,440606.0,604309.0,488083.5,1260689.25,0.3373674198558222,0.25432534169547105,0.21530243372514798,0.12013340938682607,0.11790860387918306,0.16171643259879628,0.13061384561595904
11170590,용문동,2351714.5,282485.25,313074.75,438858.75,384433.0,378435.5,554427.25,641076.25,464428.25,265749.25,273702.5,395153.5,311605.0,751933.5,0.3197384291332983,0.27259952260361536,0.1974849625666721,0.11300234360931143,0.11638423796766147,0.16802783671232202,0.13250120284583863
11170625,한강로동,5702037.75,485821.5,1153982.5,1386119.0,1090439.0,787047.75,798628.5,1097017.5,1137615.5,872298.25,886993.25,1084104.5,624008.5,2540101.5,0.44547258565589115,0.19239043094725214,0.19951034171950194,0.1529800903194652,0.15555723916419179,0.19012580195562542,0.10943605204998862
11170630,이촌1동,4469922.5,943542.75,390866.25,564994.25,839345.25,727666.0,1003508.5,1099072.0,951861.0,536964.5,544287.0,763887.5,573851.0,955860.5,0.21384274559570104,0.24588166797075342,0.2129479873532483,0.12012836911601935,0.1217665406950568,0.17089502111054497,0.1283805256131398
11170640,이촌2동,1477126.75,164143.25,195621.5,269182.25,259640.5,233592.25,354947.25,380491.25,306944.25,166268.5,179630.25,253992.25,189799.75,464803.75,0.31466747860330874,0.2575887614248405,0.20779817981090654,0.1125621074833287,0.12160787826772483,0.17195020671042616,0.1284925278077863
11170650,이태원1동,2472440.0,156780.75,611669.5,606503.75,443708.5,297707.75,356070.0,602588.5,423884.75,312447.75,328507.5,460541.0,344469.25,1218173.25,0.4927008339939493,0.2437221934607109,0.17144389752633027,0.12637222743524615,0.13286773389849704,0.18626983870184918,0.13932360340392486
11170660,이태원2동,2875977.75,303102.0,434960.5,650848.25,626135.0,379823.0,481109.75,782802.25,593071.75,332029.5,331134.5,463535.75,373404.25,1085808.75,0.3775442108340372,0.27218647640789295,0.20621569481891855,0.11544925895202075,0.11513806043874991,0.1611750125674651,0.12983558374191176
11170685,한남동,4367252.75,361614.25,711298.5,1008368.0,939463.25,648009.5,698499.25,835670.5,884781.5,645226.75,677251.0,829005.25,495318.5,1719666.5,0.3937639056956344,0.1913492412363814,0.20259452581488444,0.14774202157179933,0.1550748350894049,0.18982305294787438,0.11341649507233123
11170690,서빙고동,1710274.0,296997.75,205337.75,244585.0,345945.5,284059.0,333347.5,484377.25,379072.25,198704.75,192430.25,245255.5,210435.25,449922.75,0.2630705664706357,0.2832161688711867,0.22164416344983318,0.11618299173114952,0.11251428133737636,0.14340129125508544,0.12304183423240954
11170700,보광동,2395791.25,266925.25,290066.25,402329.25,492409.5,399643.25,544418.0,663064.0,511078.0,269369.25,266833.0,371467.5,313980.5,692395.5,0.28900493730411614,0.2767620092109444,0.21332326011291677,0.11243435754262814,0.11137573025195747,0.15505002783527155,0.13105503244491773
11200520,왕십리2동,4487875.5,590622.25,688594.75,867889.25,719177.5,653226.5,968366.25,1307109.75,912554.75,457503.5,462552.75,723578.25,624577.75,1556484.0,0.34681978143110254,0.29125356752877835,0.20333780426841164,0.10194211047075614,0.10306719738548897,0.16122957287919418,0.13917002599559636
11200535,왕십리도선동,5487250.75,726936.25,964408.5,1019037.25,905024.75,810018.25,1061826.0,1344507.5,1128368.75,687599.5,692625.5,956044.0,678105.75,1983445.75,0.36146439088827864,0.24502388559516802,0.2056346249531243,0.12530856185130596,0.12622450322686637,0.1742300550052319,0.12357841492845939
11200540,마장동,4931273.0,596048.0,823071.75,795991.0,752868.75,816024.0,1147270.25,1255326.0,1099555.0,611883.5,586704.0,781357.5,596447.0,1619062.75,0.32832551554132167,0.2545642879637773,0.2229758928374073,0.12408226030073775,0.11897617511745953,0.158449451084943,0.12095193269567513
11200550,사근동,4330811.75,658223.5,1837777.0,537005.0,384339.5,388489.0,524977.5,1186061.5,919142.5,508915.5,473128.0,670712.5,572852.25,2374782.0,0.5483456998563837,0.2738658635993587,0.21223330706997365,0.11751041822586725,0.10924695583916803,0.1548699270985399,0.13227364361888969
11200560,행당1동,6119463.5,940558.25,1255502.25,1001565.5,1002052.5,873318.5,1046466.75,1382552.0,1217414.75,793393.0,819855.5,1142390.25,763858.0,2257067.75,0.36883425319883023,0.22592699507072803,0.1989414186390686,0.12965074470989163,0.13397506170271298,0.18668143865879747,0.12482434121880129
11200570,행당2동,4522877.5,847115.75,526095.75,717115.0,820828.25,658786.0,952936.75,1285172.5,945675.5,476159.5,467154.25,719746.5,628969.25,1243210.75,0.2748716386857703,0.2841493053924189,0.20908713534691134,0.10527800056490585,0.10328695614683352,0.15913464381911738,0.13906395872981306
11200580,응봉동,2715983.25,525000.0,256907.5,421207.5,498518.0,439324.75,575025.75,860850.0,576659.25,256940.5,245087.0,386940.5,389504.5,678115.0,0.24967569295576472,0.31695703572545963,0.21232062090220918,0.09460312393310967,0.09023877448434191,0.14246792575027847,0.1434119669184263
11200590,금호1가동,3192809.25,575665.0,273634.25,548077.5,643844.25,461825.75,689763.25,849994.0,657345.75,341060.5,364983.25,553273.0,426152.75,821711.75,0.25736324523615056,0.2662213534992734,0.20588318891897472,0.10682144572213326,0.11431414200519495,0.1732872078092357,0.13347266204518796
11200615,금호2?3가동,5610458.25,894790.25,559650.75,934031.0,996573.25,879393.5,1346020.5,1571445.75,1134675.5,590014.5,603251.0,939390.0,771682.25,1493681.75,0.2662316843726624,0.2800922277605399,0.20224292730455662,0.10516333492010212,0.1075225896209102,0.1674355209754925,0.13754353309731873
11200620,금호4가동,2617483.0,392482.0,256663.75,474894.0,464872.75,407364.5,621206.5,667456.25,538502.75,293077.25,310444.75,457624.75,350377.5,731557.75,0.27948901673859966,0.2549992683811127,0.20573304583067015,0.11196911307542398,0.11860430421133585,0.1748338957693326,0.1338604682437288
11200645,옥수동,2868578.25,524110.5,264687.5,502657.75,528396.0,405640.5,643085.25,685957.25,598151.25,341384.5,360112.75,521296.25,361677.0,767345.25,0.26750019805107283,0.23912795476295617,0.20851836619761027,0.11900825783643866,0.1255370147214914,0.18172634823540199,0.12608231969966308
11200650,성수1가1동,3118957.5,309693.25,551175.25,736625.75,508774.5,452899.5,559789.0,652778.0,638578.0,458738.25,477325.5,548972.75,342565.75,1287801.0,0.4128946931787304,0.20929365020203064,0.20474084690156888,0.14708063511606043,0.15304007829539196,0.1760116160608152,0.10983341388909595
11200660,성수1가2동,5555665.25,507436.5,1156857.0,1382403.75,1018046.5,715010.5,775910.0,877274.5,1121336.5,959284.75,999370.75,1080523.75,517875.5,2539260.75,0.4570579103915593,0.1579062921402617,0.20183658473663438,0.17266784567338717,0.1798831832065476,0.19449043478636513,0.09321574945502702
11200670,성수2가1동,4927575.25,490467.75,785162.5,979935.5,783374.5,837267.75,1051367.75,1131652.25,1005486.75,656808.75,689906.0,857925.75,585795.0,1765098.0,0.3582082282761689,0.2296570204584902,0.2040530482005323,0.13329248498031562,0.1400092266475281,0.1741070823829631,0.11888098512549351
11200690,성수2가3동,5780053.5,557118.75,1349138.25,1319090.0,1002122.25,778523.5,774060.25,960007.5,1185158.75,995608.0,1047583.75,1060809.5,530885.5,2668228.25,0.46162691227685004,0.16608972564008273,0.20504286854784304,0.17224892468555872,0.18124118574334996,0.18352935660543626,0.09184785227333968
11200720,송정동,3214975.75,294042.0,717464.0,617496.5,510114.5,439669.25,636188.75,937539.75,710605.75,357036.25,342815.25,456635.5,410343.25,1334960.5,0.4152319033821639,0.29161642976622765,0.221029894237927,0.1110541035962713,0.10663074208258025,0.1420338862587066,0.1276349440582872
